normal_form,type,variants_in_text,count
фродо,PER,фродо,1789
сэм,PER,"сэму, сэм, сэмом, сэма, сэме",1191
гэндальф,PER,"гэндальф, гэндальфом, гэндальфу, гэндальфе, гэндальфа",1067
арагорн,PER,"арагорну, арагорна, арагорне, арагорн, арагорном",629
пин,PER,"пине, пином, пина, пин, пину",571
мерри,PER,мерри,515
гимли,PER,гимли,352
бильбо,PER,бильбо,305
леголас,PER,"леголасом, леголас, леголаса",294
горлум,PER,"горлуме, горлумом, горлума, горлум, горлуму",270
фарамир,PER,"фарамир, фарамиру, фарамиром, фарамире, фарамира",242
боромир,PER,"боромир, боромире, боромира, боромиру, боромиром",229
саруман,PER,"саруман, саруману, саруманом, сарумана",209
эомер,PER,"эомеру, эомером, эомера, эомер",184
теоден,PER,"теодене, теоден, теоденом, теодена, теодену",180
бродяжник,PER,"бродяжника, бродяжником, бродяжник, бродяжнику",173
мордор,LOC,"мордора, мордоре, мордору, мордором, мордор",172
кольцо,PER,"кольца, кольце, кольцо, кольцом",160
хоббитании,LOC,хоббитании,134
денэтор,PER,"денэтор, денэтора, денэторе, денэтору, денэтором",124
саурон,PER,"сауроном, сауроне, саурон, саурону, саурона",117
древень,PER,"древень, древню",109
гондор,PER,"гондор, гондора, гондоре, гондором, гондору",101
элронд,PER,"элронд, элрондом",100
эовин,PER,эовин,91
смеагорл,PER,смеагорл,90
враг,PER,"врага, врагом, врагу, враг, враге",88
минас-тирит,LOC,"минас-тирита, минас-тириту, минас-тирите, минас-тирит",85
раздол,LOC,"раздоле, раздолу, раздол, раздола",80
гондор,LOC,"гондор, гондора, гондоре, гондором, гондору",76
кольцо,LOC,"кольца, кольцо, кольцу, кольцом",75
элронда,PER,элронда,60
берегонд,PER,"берегондом, берегонд, берегонда, берегонду",58
том,PER,"том, тома, томом, тому",56
хранители,PER,"хранители, хранителями, хранителей",55
средиземье,LOC,средиземье,54
море,LOC,"море, морю, морем, моря",50
горлума,PER,горлума,47
светозар,PER,"светозара, светозаром, светозар, светозару",45
исилдур,PER,"исилдуре, исилдуру, исилдур, исилдуром, исилдура",45
пина,PER,пина,44
элендил,PER,"элендила, элендил, элендилу",44
изенгард,LOC,"изенгарду, изенгарда, изенгард, изенгарде, изенгардом",43
андуин,LOC,"андуину, андуином, андуина, андуин",43
мордор,PER,"мордор, мордору, мордора",42
углук,PER,"углука, углуком, углук",42
шаграт,PER,"шаграту, шаграт, шагратом, шаграта",41
хэлдар,PER,"хэлдаром, хэлдар, хэлдару",41
изенгард,PER,"изенгарду, изенгарда, изенгард, изенгарде, изенгардом",40
торбинс,PER,"торбинсом, торбинса, торбинсу, торбинс",40
гнилоуст,PER,"гнилоустом, гнилоуст, гнилоусту, гнилоуста",40
гондора,PER,гондора,40
галадриэль,PER,галадриэль,40
ристании,PER,ристании,39
лориэн,LOC,"лориэна, лориэн, лориэне, лориэну",39
владычица,PER,"владычица, владычицы",38
лес,LOC,"леса, лесу, лес",38
андуин,PER,"андуину, андуином, андуина, андуин",37
запад,LOC,"запада, запад, западу, западе",36
горислав,PER,"гориславом, горислав, гориславу, горислава",35
имраиль,PER,"имраиль, имраилем, имраиля, имраилю",35
пригорье,LOC,пригорье,35
река,LOC,"река, реке, реку, рекой, реки",34
средиземья,LOC,средиземья,34
великая река,LOC,"великая река, великой реке, великой реки, великой рекой, великую реку",33
арагорна,PER,арагорна,32
хоббитании,PER,хоббитании,32
тракт,LOC,"тракт, тракта, трактом, тракту",32
кроттон,PER,"кроттону, кроттон, кроттона",30
перегрин,PER,"перегрина, перегрин",30
фангорн,PER,"фангорну, фангорн, фангорна, фангорне",30
государь,PER,"государя, государем, государь, государю",29
морию,LOC,морию,29
митрандир,PER,"митрандиром, митрандиру, митрандир",29
хоббитанию,LOC,хоббитанию,28
наркисс,PER,"наркиссом, наркисс",28
эдорас,LOC,"эдорасе, эдорас, эдораса, эдорасом",28
ристании,LOC,ристании,28
лориэн,PER,"лориэном, лориэн, лориэну, лориэна, лориэне",27
ортханк,LOC,"ортханком, ортханке, ортханку, ортханка, ортханк",26
норгорд,LOC,"норгорда, норгорде, норгорд",26
лавр,PER,"лавр, лавра",26
шелоб,PER,шелоб,26
фродо,LOC,фродо,26
кольца,PER,кольца,26
грышнак,PER,"грышнаком, грышнак, грышнака",26
сэм скромби,PER,"сэм скромби, сэмом скромби, сэму скромби, сэма скромби",24
жихарь,PER,"жихарь, жихарю, жихарем",24
бирюк,PER,"бирюку, бирюка, бирюк",24
терн,PER,"терна, терн, терном",23
гаральд,PER,"гаральдом, гаральда, гаральд",23
горбаг,PER,"горбаг, горбагом",23
кольца,LOC,"кольцами, кольца",23
билл,PER,"биллу, билле, биллом, билл, билла",23
мглистые горы,LOC,"мглистых гор, мглистые горы",22
минас-тирит,PER,"минас-тирита, минас-тирите, минас-тирит",22
мории,LOC,мории,22
галадриэли,PER,галадриэли,21
золотинка,PER,"золотинки, золотинке, золотинка",21
селербэрн,PER,селербэрн,21
раздол,PER,"раздолу, раздол, раздола",21
глоина,PER,глоина,20
